0,16,53
0,14,8
0,11,50
2,51,0
2,43,10
3,30,1
3,1,41
4,4,7
4,14,1
5,0,44
5,4,22
5,30,0
5,42,14
6,46,39
6,1,12
7,47,23
7,0,34
8,26,41
9,32,0
9,11,39
9,10,34
10,5,1
10,1,11
11,28,53
11,0,49
11,33,1
12,28,10
12,1,0
12,20,40
12,53,1
13,25,34
13,27,15
14,10,45
14,3,44
16,19,2
17,10,0
17,10,35
18,39,1
19,5,46
19,43,12
20,0,10
21,1,47
22,22,50
23,0,1
23,1,9
23,1,18
23,25,33
24,22,10
24,19,41
26,1,41
27,13,4
27,0,35
28,47,24
28,56,38
29,52,42
30,15,5
30,4,0
30,1,53
31,10,32
32,1,55
32,1,11
33,37,35
34,33,10
34,1,0
35,1,54
35,1,6
36,1,0
36,1,9
37,1,3
37,1,21
38,28,24
38,0,48
39,42,11
39,37,1
39,0,1
39,1,26
40,4,10
40,38,1
41,2,32
41,49,10
41,10,22
42,0,4
42,52,0
43,1,14
43,52,10
44,45,41
44,3,1
44,51,12
45,0,22
45,26,29
46,45,1
47,1,45
47,17,0
48,0,40
48,14,45
49,1,39
49,10,1
49,32,1
50,28,16
50,1,10
50,37,4
51,10,12
52,43,0
52,10,19
52,0,1
53,15,26
54,0,1
54,1,18
54,1,7
54,4,13
55,45,49
55,1,10
55,27,0
56,0,43
56,1,11
57,16,46
58,13,31
58,10,31
59,10,22
59,9,24
59,33,14
60,24,10
60,10,37
62,10,37
62,10,1
62,4,16
62,30,1
63,15,1
64,53,1
64,28,32
64,1,47
65,55,0
65,38,34
65,43,1
66,29,0
66,10,0
66,24,13
67,25,42
67,1,28
67,0,5
68,33,10
69,45,22
69,26,1
69,10,17
70,40,3
70,20,1
71,5,23
71,55,30
71,1,36
72,16,10
72,22,24
72,1,43
73,6,1
75,1,11
75,1,41
76,48,49
76,52,0
77,16,1
77,13,10
77,0,7
78,1,35
78,25,10
79,1,13
79,1,37
80,28,5
81,4,0
82,2,8
82,9,10
82,20,37
83,1,2
84,25,10
84,0,51
85,26,17
85,1,50
85,0,1
86,1,47
88,10,15
88,9,33
90,21,19
90,44,50
91,35,36
91,37,1
92,28,0
92,0,4
93,22,1
93,1,22
93,31,1
94,36,0
94,49,1
94,54,1
95,10,9
95,2,45
97,1,5
97,1,52
97,0,36
98,1,36
99,1,6
99,24,16
100,1,19
100,51,0
101,1,0
101,20,27
102,1,42
102,44,10
103,21,31
103,40,1
103,18,29
104,1,0
105,0,15
105,1,45
105,11,39
106,1,26
106,31,10
108,19,18
108,30,0
109,39,45
109,0,52
109,10,0
110,34,9
111,29,0
111,10,1
112,0,34
112,1,23
113,42,10
113,0,47
114,0,23
114,2,1
114,1,41
114,53,10
115,5,10
115,44,51
115,1,10
116,9,10
116,0,28
116,16,1
117,11,1
117,2,1
117,1,51
117,9,0
118,1,11
119,1,0
120,1,40
120,1,27
120,1,0
120,48,11
120,31,25
121,1,21
121,48,27
122,25,37
122,45,24
122,3,0
123,54,52
123,1,0
123,38,0
124,10,0
124,42,1
124,1,0
124,8,29
125,4,52
126,17,44
126,1,33
126,1,54
127,0,1
127,1,10
127,34,3
128,0,21
129,45,32
129,0,2
130,52,26
130,29,1
130,1,54
130,38,1
130,10,1
131,43,32
131,0,34
132,54,0
133,31,1
133,1,35
133,51,1
134,10,1
134,10,34
134,10,16
134,1,0
135,45,21
135,1,30
136,1,10
136,5,16
137,0,26
137,51,1
138,0,49
138,1,26
139,10,1
139,1,0
140,53,36
140,12,1
141,32,1
141,29,1
142,0,1
142,2,22
142,34,32
142,1,35
143,1,37
144,46,45
145,49,35
145,7,18
145,1,0
146,0,10
146,36,0
146,47,10
147,10,1
148,55,0
148,10,37
148,0,40
149,24,0
149,36,1
150,48,5
150,1,28
150,11,33
151,15,13
151,1,3
153,18,1
153,1,10
154,6,1
155,4,50
155,29,1
156,31,0
157,6,12
157,54,1
158,1,10
158,21,0
159,31,27
160,31,1
160,10,38
160,1,10
161,0,1
161,41,49
162,1,51
162,25,1
163,0,4
163,1,51
163,35,10
163,34,6
164,1,9
164,0,12
165,1,10
165,29,0
166,1,10
167,30,1
168,4,51
168,29,0
168,34,36
169,5,1
169,1,16
169,1,16
171,1,10
171,10,0
172,36,0
172,37,35
173,47,0
173,39,46
174,35,30
174,1,30
175,1,19
176,1,48
177,35,1
177,46,40
178,54,26
178,1,35
178,1,28
179,0,1
179,31,32
180,14,3
180,0,34
180,1,20
181,1,10
