0,52,10
0,1,6
1,1,0
1,42,49
1,0,1
2,11,0
2,1,10
2,10,2
2,1,12
3,1,16
3,31,10
4,7,23
4,1,20
5,43,1
6,23,54
6,10,53
7,1,19
7,38,29
9,10,29
10,10,54
11,31,0
11,1,24
13,1,10
14,28,0
14,1,8
14,24,1
15,0,34
15,33,42
15,1,0
16,0,32
16,31,46
17,31,12
17,1,31
18,1,49
18,1,18
19,1,7
20,52,15
20,10,1
20,26,49
21,1,0
21,21,8
22,41,37
23,1,34
24,14,35
25,52,47
26,17,1
26,1,37
26,1,10
27,10,48
28,10,1
28,25,37
29,12,10
29,40,1
29,26,1
30,1,32
32,23,30
32,22,54
32,40,32
32,1,0
33,36,0
33,1,6
33,1,29
33,1,9
33,5,32
33,1,47
34,0,7
34,10,47
35,27,1
36,19,50
36,1,52
36,1,38
37,55,6
38,40,17
38,1,16
38,0,35
39,30,49
39,1,2
40,1,21
40,9,1
40,12,2
41,6,1
41,14,40
42,44,0
43,6,43
44,8,10
44,10,29
45,19,48
45,51,17
46,18,1
49,1,23
49,14,10
49,1,10
50,48,47
51,1,16
51,16,10
51,8,1
52,1,51
53,14,10
53,31,53
53,36,10
54,1,16
55,12,16
55,20,0
56,1,44
56,18,37
59,22,3
59,51,6
60,43,49
60,1,49
60,1,0
60,0,45
61,17,1
61,50,1
62,37,1
62,47,10
62,45,21
63,6,23
63,45,7
63,1,24
64,50,55
64,10,22
65,10,1
65,10,11
66,54,9
66,45,34
66,18,1
68,43,10
68,10,34
68,28,21
69,5,31
70,16,1
70,17,1
70,1,3
71,1,43
72,13,50
73,14,12
73,1,35
74,6,0
74,10,1
75,17,33
75,36,10
75,54,20
76,0,51
76,35,1
76,1,10
77,3,44
77,29,10
77,20,32
78,38,10
78,1,0
79,34,27
79,32,25
80,10,32
81,37,43
82,1,0
82,29,0
83,47,1
83,38,1
84,1,22
84,0,1
84,0,1
85,50,23
85,10,44
86,21,34
86,33,7
86,35,43
87,45,13
87,1,51
88,0,10
88,55,7
88,44,55
89,45,50
89,0,26
90,34,10
90,47,12
90,0,1
90,26,11
90,49,1
91,31,9
91,0,1
91,34,51
92,47,54
92,1,32
92,1,50
93,3,51
93,0,12
94,40,41
95,10,34
95,10,1
96,29,35
97,1,0
97,50,14
98,1,13
98,1,20
99,7,21
99,1,45
101,1,20
101,27,0
102,46,5
103,1,36
103,10,9
103,0,1
103,10,1
104,20,36
104,46,26
105,8,1
105,10,32
105,1,10
106,1,0
106,1,51
107,44,10
107,24,42
107,10,28
108,9,1
109,14,6
109,46,2
109,0,1
109,1,10
110,1,52
110,1,49
110,1,32
110,10,7
112,1,21
112,42,35
113,48,0
114,2,10
114,1,10
115,4,1
115,38,1
115,0,55
115,23,0
116,0,1
117,30,21
117,1,46
118,24,10
118,10,1
119,44,0
119,9,29
120,29,27
120,14,10
120,13,1
121,0,3
121,1,22
121,7,30
122,47,56
122,26,10
123,32,46
123,10,32
123,49,1
124,39,10
124,9,10
125,1,3
125,23,7
125,1,41
126,6,56
127,54,1
127,29,6
128,8,1
129,10,1
129,27,19
130,1,39
130,1,0
131,25,52
131,1,16
131,1,0
132,16,5
132,12,19
132,19,23
133,10,44
133,54,51
134,13,26
134,1,6
135,0,5
135,46,1
135,10,19
136,45,18
136,10,1
